bigeye|||Bigeyes have extremely large eyes adapted for nocturnal feeding.
red-admiral-butterfly|||Red admirals are territorial and will chase other butterflies from their favorite basking spots.
dusky-salamander|||Dusky Salamanders can autotomize their tails when threatened, which continue to wiggle and distract predators.
house-finch|||Male house finches get their red color from pigments in their diet of berries and fruits.
bearded-vulture|||Bearded vultures eat bones, dropping them from great heights to crack them into swallowable pieces.
western-diamondback-rattlesnake|||Western diamondback rattlesnakes add a new segment to their rattle each time they shed their skin.
arboreal-salamander|||Arboreal Salamanders can climb trees and have prehensile tails for gripping branches.
tang|||Clown tangs are extremely territorial and can be aggressive toward other fish.
whirligig-beetle|||Whirligig beetles have four eyes: two for seeing above water and two for seeing below.
mute-swan|||Mute swans can be aggressive defenders of their nests, charging at intruders.
snowflake-butterfly|||The snowflake butterfly has mostly white wings with delicate black tips.
woolly-mammoth|||Woolly mammoths coexisted with early humans and their remains are still found frozen in Siberian permafrost.
peacock-spider|||Male peacock spiders perform elaborate dance displays with colorful abdominal flaps to court females.
damselfly|||Damselflies fold their wings along their bodies when at rest, unlike dragonflies.
cassins-finch|||Cassins finches are the most recently described North American bird species, not recognized until 1861.
ring-necked-pheasant|||Male ring-necked pheasants have such vivid plumage that they were once used as models for dragon illustrations.
leaf-sheep|||Is one of the only animals capable of photosynthesis, stealing chloroplasts from algae.
king-vulture|||King vultures were believed by the Maya to carry messages between humans and gods.
rough-legged-hawk|||Rough-legged hawks have feathered legs all the way to their toes, adapted for Arctic cold.
leafhopper|||Brown planthoppers can jump 70 times their body length in a single leap.
andean-condor|||The Andean condor has the largest wingspan of any raptor, reaching over 10 feet.
red-salamander|||Red Salamanders are one of the largest lungless salamanders in North America.
leopard-frog|||Leopard Frogs can jump up to 20 times their body length in a single leap.
wrasse|||Cleaner wrasses set up cleaning stations where larger fish line up to have parasites removed.
eagle-ray|||Spotted eagle rays can leap several feet out of the water.
bombardier-beetle|||Bombardier beetles spray a boiling chemical spray at 212 degrees Fahrenheit from their abdomen.
eastern-newt|||The juvenile Eastern Newt, called a red eft, is brightly colored to warn predators of its toxins.
purple-finch|||Roger Tory Peterson described male purple finches as dipped in raspberry juice.
human-flea|||Fleas can jump up to 150 times their body length, equivalent to a human jumping over a skyscraper.
blue-poison-dart-frog|||Blue Poison Dart Frogs derive their toxicity from the ants and mites they eat in the wild.
feather-star|||Can swim by rhythmically waving its feathery arms through the water.
three-spined-stickleback|||Male sticklebacks build elaborate nests from water plants and fan the eggs to provide oxygen.
zebra-longwing-butterfly|||Zebra longwings are the state butterfly of Florida and can live on pollen alone.
chinese-sturgeon|||Chinese sturgeon have existed for over 140 million years and are called living fossils.
ruby-throated-hummingbird|||Ruby-throated hummingbirds beat their wings 53 times per second and can fly backwards.
red-bellied-piranha|||Red-bellied piranhas can strip a carcass to bone in minutes with their razor-sharp teeth.
great-spider-crab|||Often decorates its shell with sponges and algae for camouflage.
laughing-gull|||Laughing gulls are named for their call that sounds like high-pitched human laughter.
sweep|||Sweep are named for their distinctive sweeping swimming motion.
american-woodcock|||American woodcocks have eyes on the sides of their heads and can see 360 degrees.
discus|||Discus parents produce a mucus secretion that their young feed on for the first few weeks.
yellow-bellied-slider|||Yellow-bellied sliders can bask on logs for hours, using the sun to regulate their body temperature and digest food.
eastern-green-mamba|||Eastern green mambas are arboreal and rarely descend to the ground, spending their lives in the forest canopy.
wood-stork|||Wood storks are the only stork species that breeds in North America and use tactile feeding to catch prey.
rough-skinned-newt|||Rough-Skinned Newts produce enough tetrodotoxin to kill several adult humans.
great-crested-newt|||Male Great Crested Newts develop a jagged crest along their back during breeding season.
rainbow-trout|||Rainbow trout can change color intensity based on their environment and mood.
ichneumon-wasp|||The giant ichneumon's ovipositor can be longer than its body and drills through wood to reach beetle larvae.
burmese-python|||Burmese pythons are one of the largest snake species and have become a destructive invasive species in the Florida Everglades.
gadwall|||The gadwall is often called the plain duck, but males have an elegant pattern of fine vermiculation visible up close.
atlantic-sturgeon|||Atlantic sturgeon can live over 100 years and were once hunted for their caviar.
violet-green-swallow|||Violet-green swallows have white patches on their face that wrap around to the back of their head.
red-winged-blackbird|||Red-winged blackbirds are one of the most abundant birds in North America, with over 200 million individuals.
paper-nautilus|||Females create a delicate, paper-thin shell for egg protection.
honeybee|||A single honeybee colony can visit over 225,000 flowers to produce one pound of honey.
black-coral|||Some colonies have been dated to over 4,000 years old, making them the oldest living organisms on Earth.
flathead|||Flathead are ambush predators that bury themselves in sand to surprise prey.
midwife-toad|||Male Midwife Toads carry the eggs wrapped around their hind legs until they are ready to hatch.
black-legged-poison-frog|||Black-Legged Poison Frogs exhibit biparental care, with both parents tending to their eggs and tadpoles.
muskellunge|||Muskellunge are also called muskies and are the largest member of the pike family.
caribbean-reef-octopus|||Has two-thirds of its neurons in its arms rather than its brain.
african-dwarf-frog|||African Dwarf Frogs are fully aquatic and spend their entire lives underwater, unlike most frogs.
betta|||Male bettas build bubble nests at the water surface for their eggs.
common-nighthawk|||Common nighthawks have tiny feathers around their mouth that form a wide funnel for catching insects in flight.
hairy-frog|||Male Hairy Frogs grow hair-like skin projections during breeding season to help absorb oxygen from water.
firefly-squid|||Produces its own light through bioluminescent organs called photophores.
common-grackle|||Common grackles have iridescent feathers that shimmer purple, green, and bronze in the sunlight.
pacific-krill|||Is the primary food source for North Pacific right whales.
spanish-dancer|||Named for its spectacular undulating swimming motion that resembles a flamenco dancer.
american-coot|||American coots can sink slowly into water to hide, submerging up to their necks.
cane-turtle-frog|||Cane Turtle Frogs have a flattened body shape that allows them to hide under rocks and logs.
eastern-whip-poor-will|||Eastern whip-poor-wills can sing up to 400 times per hour, repeating their name-like call all night.
four-spotted-chaser|||Four-spotted chasers are among the first dragonflies to emerge in spring.
brown-recluse-spider|||Brown recluse venom can cause necrotic lesions that take months to heal.
nautilus-pompilius|||Shell follows a logarithmic spiral, one of nature's most perfect mathematical forms.
rockhopper-penguin|||Rockhopper penguins bounce from rock to rock using both feet rather than waddling.
blue-tongued-skink|||Blue-tongued skinks flash their bright blue tongues to startle predators into backing away.
lolly-sea-cucumber|||Has a distinctive tube-like body that resembles a lollipop.
arabian-chameleon|||Arabian chameleons are one of the few chameleon species adapted to live in hot, arid desert conditions.
clouded-yellow-butterfly|||Clouded yellows are strong migrants that can travel hundreds of miles.
belted-kingfisher|||The belted kingfisher is one of the few bird species where females are more colorful than males.
atlantic-cod|||Atlantic cod can detect their prey using electroreception even in murky water.
ring-necked-duck|||Despite its name, the ring-necked duck neck ring is rarely visible in the field.
longhorn-beetle|||The Asian longhorned beetle can kill healthy hardwood trees by tunneling through their bark.
american-goldfinch|||American goldfinches are one of the latest nesting birds, often not breeding until late July.
scalloped-hammerhead|||Scalloped hammerheads form massive schools of hundreds during their annual migration.
pillar-coral|||One of the rarest corals, with no known young produced since 1998 in Florida.
long-eared-owl|||Long-eared owls have asymmetric ear openings that allow them to pinpoint prey in complete darkness.
common-redpoll|||Common redpolls can survive temperatures of -60 degrees Fahrenheit by eating seeds and fluffing their feathers.
arowana|||Arowana can jump up to 6 feet out of the water to catch prey on overhanging branches.
herring-gull|||Herring gulls can drink saltwater thanks to special glands above their eyes that filter out excess salt.
pharaoh-ant|||Pharaoh ants can nest in extremely small spaces and are known to spread disease in hospitals.
common-octopus|||Can squeeze through any opening larger than its beak.
american-crow|||American crows can recognize individual human faces and hold grudges.
northern-pintail|||The northern pintails long tail makes it one of the most elegant ducks in flight.
goby|||Neon gobies set up cleaning stations and remove parasites from larger fish.
european-lobster|||Can weigh up to 28 pounds and is one of the largest crustaceans in European waters.
atlas-moth|||The atlas moth is one of the largest insects in the world by wing area.
cuckoo-bumblebee-parasite|||Some cuckoo bumblebee species have been reclassified as entirely separate species from their hosts.
black-necked-stilt|||The black-necked stilt has the second-longest legs relative to body size of any bird, after the flamingo.
eastern-phoebe|||The eastern phoebe was the first bird ever banded in North America, by Audubon in 1840.
lionfish|||Lionfish venomous spines can cause extreme pain and their venom is heat-stable.
io-moth|||Each wing of the io moth has a large, striking eyespot that deters predators.
spotted-lanternfly|||Spotted lanternflies can lay up to 50 eggs on almost any flat surface.
cuckoo-bumblebee|||Cuckoo bumblebees infiltrate other bumblebee nests and lay their eggs for the host to raise.
copperhead|||Copperheads account for the majority of venomous snakebites in the United States, though their venom is rarely fatal.
blue-winged-teal|||Blue-winged teal are among the earliest spring migrants and latest fall migrants in North America.
trap-jaw-ant|||Trap-jaw ants can snap their mandibles at speeds exceeding 140 mph.
hoopoe|||The hoopoe has a spectacular fan-like crest that it raises when excited or alarmed.
cat-eyed-snake|||Cat-eyed snakes have vertical pupils like cats, giving them excellent night vision for hunting in the dark rainforest.
mushroom-coral|||Unlike most corals, mushroom corals are free-living and can move short distances.
cliff-swallow|||Cliff swallows build gourd-shaped mud nests in colonies that can number in the hundreds.
red-backed-poison-frog|||Red-Backed Poison Frogs use their bright coloration to warn predators of their skin toxins in a strategy called aposematism.
dumerils-boa|||Dumeril's boa can reduce its metabolic rate to survive extended periods without food, going months between meals.
leatherback-sea-turtle|||Leatherback sea turtles are the largest turtles in the world and have existed for over 100 million years.
eastern-subterranean-termite|||Subterranean termite colonies can contain millions of individuals working together.
grouper-marbled|||Marbled groupers form massive spawning aggregations of thousands of individuals.
leafcutter-ant|||Leafcutter ants are the largest consumers of vegetation in the Neotropics.
geoduck|||Can live for over 160 years, making it one of the longest-living animals on Earth.
dodo|||The dodo was a flightless bird from Mauritius that went extinct in the late 17th century due to hunting and invasive species.
western-hognose-snake|||Western hognose snakes flatten their heads and hiss loudly when threatened, but their bluff rarely escalates to biting.
argentine-tegu|||Argentine tegus can regulate their body temperature during the reproductive season without relying solely on external heat.
common-carp|||Common carp are considered one of the most influential invasive fish species in the world.
willow-ptarmigan|||Willow ptarmigan change color with the seasons, brown in summer and pure white in winter.
horned-mason-bee|||Male horned mason bees have small horns on their faces used in mating displays.
snowy-egret|||Snowy egrets use their bright yellow feet to stir up prey from muddy bottoms.
blue-tang|||Blue tangs can make themselves nearly invisible at night by changing color.
common-loon|||Common loons have solid bones that make them less buoyant and better at diving than most birds.
common-mosquito|||Mosquitoes are responsible for more human deaths than any other animal in history.
blue-sea-star|||Its brilliant blue color comes from a pigment that may protect against UV radiation.
blue-marlin|||Blue marlin can weigh over 1,000 pounds and are among the largest bony fish in the world.
hermit-crab|||Must find and upgrade to larger shells as it grows throughout its life.
brazilian-wandering-spider|||The Brazilian wandering spider has the most potent venom of any spider and is listed in Guinness World Records.
common-merganser|||Common mergansers have serrated bills that help them grip slippery fish while diving underwater.
alkali-bee|||Alkali bees prefer salty, alkaline soil for nesting and can form massive aggregations.
limpkin|||Limpkins are specialized apple snail eaters, with bills specifically adapted to extract snails from their shells.
turkey-vulture|||Turkey vultures have the best sense of smell of any bird, able to detect carrion from miles away.
spadefoot-toad|||Spadefoot Toads can burrow underground and remain dormant for up to nine months, emerging only when it rains.
scarlet-tanager|||The male scarlet tanager turns olive-green in winter, looking like a completely different bird.
emu|||Male emus incubate the eggs and raise the chicks alone for up to 18 months.
wrasse-humphead|||Humphead wrasses can live over 30 years and are the largest living labrid fish.
great-crested-flycatcher|||Great crested flycatchers always incorporate snakeskin into their nest material.
japanese-beetle|||Japanese beetles release aggregation pheromones that attract more beetles to feed.
philippine-crocodile|||The Philippine crocodile is the most endangered crocodilian in the world, with fewer than 100 left in the wild.
spruce-grouse|||Spruce grouse are so tame they are sometimes called fool hens because they rarely fly from danger.
side-blotched-lizard|||Male side-blotched lizards use a rock-paper-scissors strategy with three throat colors to compete for mates.
box-elder-bug|||Box elder bugs aggregate in huge numbers on warm south-facing walls in autumn.
swallowtail-butterfly|||Female swallowtails can mimic the toxic pipevine swallowtail to avoid predators.
gila-monster|||The Gila monster's venom contains a compound used in a drug to treat type 2 diabetes.
natterjack-toad|||Natterjack Toads are one of the loudest European amphibians, with calls that can be heard over a mile away.
water-strider|||Water striders can walk on water due to microscopic hairs on their legs that trap air.
sacred-scarab-beetle|||Ancient Egyptians revered the scarab as a symbol of the sun god Khepri.
western-bluebird|||Western bluebirds are one of the few songbirds that nest in old woodpecker holes.
tomato-frog|||Tomato Frogs secrete a thick, white substance that can glue a predator's mouth shut.
passenger-pigeon|||Passenger pigeons once numbered in the billions and their flocks would darken the sky for hours as they flew overhead.
sea-angel|||Is a shell-less snail that swims with graceful wing-like movements.
yellowtail-coris|||Juvenile yellowtail coris look completely different from adults with orange and white spotting.
common-snapping-turtle|||Common snapping turtles can extend their necks nearly the length of their shell to strike at prey or threats.
great-hornbill|||Great hornbill pairs seal the female inside a tree cavity during nesting, leaving only a small slit for feeding.
demoiselle-crane|||Demoiselle cranes fly at altitudes over 26,000 feet during their Himalayan migration.
spotted-jelly|||Has distinctive brown spots on its translucent bell that give it its name.
fruit-fly|||Fruit flies are one of the most important model organisms in genetics research.
olm|||Olms can survive without food for up to 10 years and are among the longest-lived amphibians.
colossal-squid|||Has the largest eyes of any animal, up to 10 inches in diameter.
robber-fly|||Robber flies can capture and eat insects as large as dragonflies and grasshoppers.
lions-mane-jellyfish|||Tentacles can exceed 120 feet, rivaling the blue whale in length.
great-tailed-grackle|||Male great-tailed grackles have a wingspan of nearly 18 inches and their long tails make up half their total length.
american-white-pelican|||American white pelicans fish cooperatively, herding schools of fish into shallow water.
mosquito|||Only female mosquitoes bite, needing blood protein to produce eggs.
carpenter-bee|||Carpenter bees drill perfectly round holes in wood to create nesting galleries.
elf-owl|||The elf owl is the smallest owl species in the world, weighing less than a ping pong ball.
angelfish-freshwater|||Freshwater angelfish are actually cichlids, not related to marine angelfish.
snouted-cobra|||Snouted cobras can spit venom accurately up to 2 meters, aiming for the eyes of perceived threats.
bess-beetle|||Bess beetles communicate by rubbing their abdomen to make squeaking sounds.
pied-kingfisher|||The pied kingfisher is the only kingfisher species that can hover over water before diving.
bowfin|||Bowfin are the only surviving member of an ancient order of fish.
house-fly|||House flies taste with their feet and can detect food from miles away.
wels-catfish|||Wels catfish have been reported to grow over 16 feet long in rare cases.
regal-tang|||Regal tangs have a retractable spine near their tail that can inflict painful wounds.
canebrake-rattlesnake|||Canebrake rattlesnakes have a silent rattle compared to other rattlesnake species, often delivering strikes without warning.
gray-tree-frog|||Gray Tree Frogs can change color from gray to green depending on their environment and activity level.
california-quail|||The California quails distinctive head plume curves forward like a question mark.
hoary-redpoll|||The hoary redpoll is one of the hardiest songbirds, living further north than almost any other passerine.
tiger-tail-sea-cucumber|||Can eject sticky, toxic tubules from its body to entangle predators.
stink-bug|||Stink bugs release a foul-smelling chemical from glands on their thorax when disturbed.
atlantic-horseshoe-crab|||Has been virtually unchanged for 450 million years, predating the dinosaurs.
prairie-falcon|||Prairie falcons can reach speeds over 45 mph in level flight and much faster in a stoop.
great-egret|||The great egrets long plumes nearly drove it to extinction in the 19th century for use in womens hats.
amazon-milk-frog|||Amazon Milk Frogs secrete a milky white toxin when threatened and can change color from light to dark blue.
bark-scorpion|||Arizona bark scorpions are the most venomous scorpion in North America and can climb walls and ceilings.
strawberry-squid|||Has photophores covering its body that produce a strawberry-red glow to camouflage against predators.
mantis-shrimp|||Can punch with the force of a .22 caliber bullet, breaking aquarium glass.
sea-pen-glow|||Produces bioluminescent waves that travel along its colony when physically disturbed.
spotted-salamander|||Spotted Salamanders have a symbiotic relationship with algae that lives inside their cells.
crane-fly|||Crane flies are often mistakenly called giant mosquitoes but do not bite or suck blood.
crinoid-feather-star|||Can detach from its substrate and swim to relocate when conditions are unfavorable.
atlas-beetle|||Atlas beetles can carry objects 850 times their own body weight.
red-footed-booby|||Red-footed boobies are the most abundant booby species and the only ones that regularly nest in trees.
spring-salamander|||Spring Salamanders are one of the few salamander species that can live their entire lives in water.
red-backed-salamander|||Red-Backed Salamanders breathe entirely through their skin and have no lungs or gills as adults.
rhinoceros-beetle|||Rhinoceros beetles can lift objects 850 times their own body weight.
box-jellyfish|||Has 24 eyes including two that can form images, unlike most jellyfish.
feather-duster-worm|||Its feathery crown of tentacles is used for both feeding and respiration.
false-gharial|||The false gharial has a narrow snout similar to the true gharial but is not closely related to it.
longnose-butterflyfish|||The longnose butterflyfish uses its elongated snout to reach into coral crevices for food.
dyeing-poison-dart-frog|||The Dyeing Poison Dart Frog was named because indigenous people used its toxins to dye fabric.
tropical-caecilian|||Caecilians are often mistaken for snakes or worms, but they are actually limbless amphibians.
king-brown-snake|||The king brown snake is technically a black snake, not a brown snake, and is in the genus Pseudechis.
bank-swallow|||Bank swallows are the smallest swallow species in North America and nest in burrows dug into sandy banks.
coho-salmon|||Coho salmon turn bright red with hooked jaws during spawning season.
black-drum|||Black drum can produce loud drumming sounds using muscles on their swim bladder.
grunt|||Grunts get their name from the sound they make by grinding their teeth.
green-sea-urchin|||Can live for over 30 years, making it one of the longest-lived sea urchins.
disk-brittle-star|||Can regenerate entire arms and even the central disc if detached.
royal-gramma|||Royal grammas often hang upside down under rock ledges.
viceroy-butterfly|||Viceroys mimic the toxic monarch butterfly for protection from predators.
sea-wasp|||Considered the most venomous marine animal, capable of killing a human in minutes.
arapaima|||Arapaima are among the largest freshwater fish in the world and can breathe air.
puff-adder|||Puff adders are responsible for more snakebite deaths in Africa than any other snake due to their excellent camouflage.
black-sea-cucumber|||Can detach and regrow its internal organs when stressed, a process called evisceration.
polyphemus-moth|||The polyphemus moth is named after the one-eyed Greek giant Polyphemus.
mining-bee|||Mining bees create small volcano-shaped mounds of soil at their nest entrances.
red-velvet-ant|||The velvet ant is actually a wingless wasp with one of the most painful stings in the insect world.
toco-toucan|||The toco toucans bill contains a network of blood vessels that help regulate body temperature.
thresher-shark|||Thresher sharks use their extremely long tail whip to stun schools of fish.
leatherjacket-freshwater|||New Zealand magpie are freshwater leatherjackets found only in New Zealand.
eyed-click-beetle|||The eyed click beetle has two large eyespots on its thorax that startle predators.
flame-angelfish|||Flame angelfish can become aggressive when kept in small aquariums.
mauve-stinger|||Can bloom in massive swarms that disrupt fisheries and aquaculture operations.
brain-coral|||Can live for nearly a millennium, making it one of the longest-lived organisms on Earth.
brown-headed-cowbird|||Brown-headed cowbirds are brood parasites that lay their eggs in other birds nests.
oscarr|||Oscars are highly intelligent fish that can recognize their owners.
common-house-gecko|||Common house geckos are one of the most widespread lizard species on Earth, found on every continent except Antarctica.
barn-swallow|||Barn swallows migrate up to 6,000 miles between their breeding and wintering grounds.
damselfish|||Male garibaldi build and tend elaborate nests of algae to attract mates.
desert-locust|||Desert locust swarms can cover 460 square miles and contain 40 to 80 billion insects.
flamboyant-cuttlefish|||One of only two known poisonous cephalopods.
cuban-crocodile|||Cuban crocodiles are the most terrestrial of the New World crocodiles and can gallop like a horse.
cardinalfish|||Male Banggai cardinalfish mouthbrood the eggs until they hatch.
sixbar-wrasse|||Sixbar wrasses can change sex from female to male during their lifetime.
cownose-ray|||Cownose rays migrate in massive schools of thousands along the Atlantic coast.
sea-butterfly|||Swims by flapping its wing-like shell extensions, resembling a butterfly in flight.
eastern-meadowlark|||The eastern meadowlark looks almost identical to the western meadowlark but has a completely different song.
dragonfly|||Dragonflies can fly in all six directions and hover like a helicopter.
grass-carp|||Grass carp can eat up to 40% of their body weight in vegetation each day.
pajama-squid|||Has a distinctive black-and-white striped pattern resembling striped pajamas.
filefish|||Filefish can change color and pattern to match their surroundings.
american-cockroach|||Cockroaches can survive for weeks without food and hold their breath for 40 minutes.
bobwhite-quail|||The northern bobwhite is named for its distinctive two-note call that sounds like its name.
canada-goose|||Canada geese mate for life and can live together for over 20 years.
cassowary|||The southern cassowary is considered the worlds most dangerous bird due to its powerful kicks.
marine-flatworm|||Can regenerate an entire organism from a fragment as small as 1/200th of its body.
mimic-octopus|||Can impersonate over 15 different species including lionfish and sea snakes.
blue-glaucus|||Floats upside-down on the surface tension of the water, using stored air bubbles.
fire-urchin|||Has venomous spines that cause intense burning pain, resembling a fire ant sting.
giant-clam|||Can weigh over 500 pounds and live for more than 100 years.
common-caiman|||Common caimans have a bony ridge between their eyes that acts like a built-in pair of sunglasses in bright sunlight.
annas-hummingbird|||Male Annas hummingbirds perform dramatic diving displays that create an audible chirp.
blue-footed-booby|||Male blue-footed boobies perform an elaborate dance, lifting their bright blue feet alternately to attract mates.
stag-beetle|||Male stag beetles use their enormous mandibles to wrestle rivals for mates.
king-penguin|||King penguin parents can go up to two weeks without eating while incubating their egg.
giant-amphipod|||Can grow up to 20 times larger than typical amphipods.
bark-beetle|||Mountain pine beetle outbreaks can kill millions of acres of forest in a single year.
tokay-gecko|||Tokay geckos can produce one of the loudest calls of any gecko, heard up to a mile away.
bush-viper|||Bush vipers have keeled, leaf-like scales that give them a spiky, dragon-like appearance unique among snakes.
ruffed-grouse|||Male ruffed grouse create a drumming sound by beating their wings rapidly to attract females.
coral-grouper|||Coral groupers hunt cooperatively with moray eels, using head shakes to signal the eel to flush out prey.
trumpeter-swan|||The trumpeter swan is the heaviest bird native to North America.
leaf-mantis|||The dead leaf mantis has irregular body edges that perfectly replicate a torn, decaying leaf.
pancake-tortoise|||Pancake tortoises have flat, flexible shells that allow them to wedge themselves into rock crevices to escape predators.
giant-isopod|||Can survive up to 5 years without eating by slowing its metabolism.
canvasback|||The canvasback is the largest and fastest diving duck in North America.
fire-bellied-toad|||Fire-Bellied Toads display their bright orange-red bellies when threatened in a behavior called the unken reflex.
purple-gallinule|||Purple gallinules can walk across lily pads thanks to their extremely long toes.
caiman-lizard|||Caiman lizards have powerful jaws and thick, armored scales that resemble those of caiman crocodilians.
koi-carp|||The most expensive koi ever sold was a Japanese fish named S Legend that sold for $1.8 million.
house-sparrow|||House sparrows were introduced to North America in 1851 and have since spread across the continent.
great-cormorant|||Cormorants have less preen oil than other waterbirds, which helps them dive but requires wing-drying.
caspian-tern|||The Caspian tern is the largest tern species in the world.
yellow-billed-cuckoo|||Yellow-billed cuckoos are sometimes called rain crows because they call more frequently before storms.
comma-butterfly|||The comma butterfly is named for the small white comma-shaped mark on its underwings.
rose-chafer|||Rose chafers can fly with their elytra closed, using only their hind wings.
zebra-fiddler-crab|||Males wave their oversized claw in a unique rhythm specific to their species.
indian-star-tortoise|||Indian star tortoises have star-shaped patterns on their shells that help with camouflage and thermoregulation.
gulper-eel|||Gulper eels have enormous mouths that can open wide enough to swallow prey larger than themselves.
green-winged-teal|||The green-winged teal is the smallest dabbling duck in North America.
cuckoo-wasp|||Cuckoo wasps can curl into a ball when threatened, using their armored exoskeleton for protection.
moorish-idol|||Moorish idols are notoriously difficult to keep in captivity and rarely survive long in aquariums.
carpet-python|||Carpet pythons are nocturnal hunters that use heat-sensing pits to detect warm-blooded prey in total darkness.
cutthroat-trout|||Cutthroat trout are named for the distinctive red slash under their jaw.
greater-siren|||Greater Sirens are the largest species in the Sirenidae family and can exceed three feet in length.
wolf-spider|||Wolf spider mothers carry their egg sacs and spiderlings on their backs.
fire-coral|||Not a true coral but a colony of hydrozoans that delivers a painful sting.
john-dory|||John Dory have a distinctive dark spot on each side that looks like a thumbprint.
firebrat|||Firebrats prefer temperatures above 90 degrees Fahrenheit and can survive scorching conditions.
bald-faced-hornet|||Bald-faced hornets can spray venom from their stingers up to several feet.
northern-gannet|||Northern gannets plunge-dive from heights of 130 feet, hitting the water at 60 mph.
broad-snouted-caiman|||Broad-snouted caimans build mounds of vegetation to incubate their eggs, using decomposition heat to warm them.
white-lipped-pit-viper|||White-lipped pit vipers have heat-sensing pits between their eyes and nostrils that detect warm-blooded prey in complete darkness.
lake-trout|||Lake trout can live over 40 years and grow to over 60 pounds.
green-basilisk|||The green basilisk is also called the Jesus Christ lizard because it can run across the surface of water.
dung-beetle|||Dung beetles navigate using the Milky Way, the first insects found to use stars.
incredible-frog|||The Incredible Frog can extend its fingers and toes to slow its descent when jumping from high branches.
wahoo|||Wahoo are among the fastest fish in the ocean, capable of reaching speeds up to 50 mph.
snow-goose|||Snow goose flocks can number in the hundreds of thousands during migration.
largemouth-bass|||Largemouth bass can open their mouths wide enough to gulp down prey nearly half their size.
blacktip-shark|||Blacktip sharks are known for their dramatic breaching behavior, spinning out of the water.
jumping-spider|||Jumping spiders have the best vision of any spider and can jump 50 times their body length.
giant-basket-star|||Has thousands of branching arm tips that can entrap plankton and small organisms.
pygmy-squid|||Uses a sticky gland on its nose to attach itself to seagrass blades.
blue-racer|||Blue racers are one of the fastest snakes in North America, capable of speeds up to 10 mph.
upside-down-jellyfish|||Rests upside-down on the seafloor to expose symbiotic algae to sunlight.
rough-scaled-sand-boa|||Sand boas spend most of their lives buried underground, with only their eyes and snout visible above the sand.
yellowfin-tuna|||Yellowfin tuna can swim at speeds up to 40 miles per hour in short bursts.
green-anaconda|||The green anaconda is the heaviest snake in the world, with some individuals weighing over 220 pounds.
desert-tortoise|||Desert tortoises can store over a liter of water in their bladders and reabsorb it during droughts.
malaysian-horned-frog|||Malaysian Horned Frogs have horn-like projections above their eyes that help break up their outline among leaf litter.
yellow-footed-tortoise|||Yellow-footed tortoises play a crucial role in seed dispersal in the Amazon, helping to regenerate the rainforest.
white-ibis|||White ibises probe mud with their long, curved bills and can detect prey by touch alone.
lungfish|||Lungfish can breathe air and survive out of water for months by burrowing into mud.
pencil-urchin|||Has thick, blunt spines that resemble pencils, unlike typical sharp urchin spines.
cockatiel|||Cockatiels are one of the few parrot species that can whistle tunes accurately.
emerald-tree-boa|||Emerald tree boas have heat-sensing pits along their lips to detect warm-blooded prey in the dark.
mole-cricket|||Mole crickets can swim and fly, making them highly mobile pests of turfgrass.
surinam-toad|||Female Surinam Toads have eggs embedded in the skin of their backs, where they develop into froglets.
king-snake|||King snakes are called 'kings' because they regularly eat other snakes, including venomous rattlesnakes.
vampire-squid|||Is neither a true squid nor a true octopus but occupies its own order.
mud-dauber-wasp|||Mud daubers stock their nests with paralyzed spiders for their developing larvae.
boarfish|||Boarfish use their elongated snout to extract small invertebrates from coral crevices.
epaulette-shark|||Epaulette sharks can walk on their fins across the reef flat at low tide.
western-meadowlark|||The western meadowlark is the state bird of six different U.S. states, more than any other bird.
diving-beetle|||Diving beetles carry an air bubble under their wing covers to breathe underwater.
veiled-chameleon|||Male veiled chameleons have a tall casque on their heads that may help channel dew drops into their mouths.
teatfish-sea-cucumber|||One of the most commercially valuable sea cucumber species, sold as beche-de-mer.
glasswing-butterfly|||The glasswing butterfly has nearly transparent wings due to nanopillar structures.
viperfish|||Viperfish have extremely long, needle-like teeth that are so long they don't fit inside their mouths.
asian-water-monitor|||Asian water monitors are excellent swimmers and can hold their breath for up to 30 minutes.
fiddler-crab|||Males have one enormous claw they wave to attract mates.
pacman-frog|||Pacman Frogs are named after the video game character due to their enormous mouths and round bodies.
spotted-turtle|||Spotted turtles have yellow spots on their dark shells that become more numerous with age, like counting tree rings.
orchard-oriole|||The orchard oriole is the smallest icterid in North America, smaller than even the house finch.
ringed-salamander|||Ringed Salamanders migrate to breed during autumn rains, one of the few fall-breeding amphibians.
quagga|||The quagga was half-zebra, half-horse with stripes only on the front half of its body. The last one died in 1883.
blue-and-yellow-macaw|||Blue-and-yellow macaws can fly at speeds up to 35 mph and use their powerful beaks to crack hard nuts.
emperor-scorpion|||Emperor scorpions glow bright blue-green under ultraviolet light.
tiger-beetle|||Tiger beetles run so fast they go temporarily blind because their eyes cannot process images quickly enough.
ornate-box-turtle|||Ornate box turtles can completely seal their hinged plastron shut, trapping themselves inside their shell for protection.
zebra-shark|||Zebra sharks change from striped as juveniles to spotted as adults.
spittlebug|||Spittlebug nymphs produce foamy saliva masses called cuckoo spit to protect themselves.
bicolor-angelfish|||Bicolor angelfish can make loud popping sounds for communication.
common-starfish|||Can turn its stomach inside out to digest prey externally.
tuatara|||Tuatara are the last surviving members of an order of reptiles that lived alongside dinosaurs over 200 million years ago.
sawfly|||Sawfly larvae look like caterpillars but have more than five pairs of prolegs.
